index,word
129,makasih
130,bagus
130,terimakasih
131,bagus
131,terimakasih
132,tolong
132,perbaiki
132,layanan
132,maxim
132,daerah
132,kotabumi
132,lampung
132,utara
132,pengemudi
132,baik
132,customer
132,bawa
132,barang
132,supir
132,suka
132,customer
132,perempuan
132,barang
132,bawaan
132,tidak
132,dibantu
132,nurunin
132,barang
132,mobil
132,sangat
132,buruk
133,tolong
133,perbaiki
133,layanan
133,maxim
133,daerah
133,kotabumi
133,lampung
133,utara
133,pengemudi
133,baik
133,customer
133,bawa
133,barang
133,supir
133,suka
133,customer
133,perempuan
133,barang
133,bawaan
133,tidak
133,dibantu
133,nurunin
133,barang
133,mobil
133,sangat
133,buruk
134,trimakasih
134,membantu
134,perjalanan
135,baikramah
135,sabar
135,macet
135,semagat
136,sangat
136,ramahbaik
137,bagus
137,pelayanan
138,diandalkan
138,perjalanan
139,banget
139,bolak
139,dibantu
139,cari
139,travel
140,gangguan
141,mudah
141,aktivasi
142,mantab
142,maxim
142,murah
142,murah
142,driver
142,cepet
142,nyampe
142,tujuan
142,cepat
142,selamat
142,mantab
142,maxim
142,bagus
142,gojek
143,mantab
143,maxim
143,murah
143,murah
143,driver
143,cepet
143,nyampe
143,tujuan
143,cepat
143,selamat
143,mantab
143,maxim
143,bagus
143,gojek
144,mantab
144,maxim
144,murah
144,murah
144,driver
144,cepet
144,nyampe
144,tujuan
144,cepat
144,selamat
144,mantab
144,maxim
144,bagus
144,gojek
145,mantab
145,maxim
145,murah
145,murah
145,driver
145,cepet
145,nyampe
145,tujuan
145,cepat
145,selamat
145,mantab
145,maxim
145,bagus
145,gojek
146,pelayaan
146,lumayan
146,bagus
147,pelayanan
147,prima
147,terimakasih
148,sopir
148,sopan
148,ramah
148,sabar
149,driver
149,ramahdan
149,nyaman
150,driver
150,ramahdan
150,nyaman
151,ngirim
151,aktif
151,suruh
151,nyocokin
151,gambar
151,emng
151,niat
152,menunggu
152,konfirmasi
153,ramahtepat
153,waktuterima
153,kasih
154,ramahtepat
154,waktuterima
154,kasih
155,trimakasih
155,pelayana
156,pesan
156,food
156,respon
157,cepat
158,ribet
158,pilih
158,kesusahan
158,nggak
158,mapjln
158,pilih
158,alias
158,tidak
158,nonggol
158,maxim
158,doang
159,ribet
159,pilih
159,kesusahan
159,nggak
159,mapjln
159,pilih
159,alias
159,tidak
159,nonggol
159,maxim
159,doang
160,mantap
160,makasih
160,kang
160,udah
160,anterin
160,tuan
161,nyaman
161,aman
161,mantap
162,mengecewakan
162,order
162,selesai
162,tapi
162,memesan
162,otomatis
162,tidak
162,pesan
162,orderan
162,selesai
162,recommended
163,mengecewakan
163,order
163,selesai
163,tapi
163,memesan
163,otomatis
163,tidak
163,pesan
163,orderan
163,selesai
163,recommended
164,salado
164,kali
164,potong
164,driver
164,lokasi
164,penjemputan
164,merampok
164,uang
164,user
164,sangat
164,memalukan
165,salado
165,kali
165,potong
165,driver
165,lokasi
165,penjemputan
165,merampok
165,uang
165,user
165,sangat
165,memalukan
166,maxim
166,murah
166,tapi
166,motor
166,bocor
166,pembayaran
166,haruskan
166,bayar
166,menunggu
166,menit
166,berbayar
166,anneh
166,pelanggan
166,nunggu
166,tapi
166,bayar
166,juga
166,kali
166,ojol
167,maxim
167,murah
167,tapi
167,motor
167,bocor
167,pembayaran
167,haruskan
167,bayar
167,menunggu
167,menit
167,berbayar
167,anneh
167,pelanggan
167,nunggu
167,tapi
167,bayar
167,juga
167,kali
167,ojol
168,pengemudi
168,ramah
169,amang
169,sabar
169,nungguin
169,pelangga
169,beli
169,ayam
169,dulusehat
169,pejuang
169,rupiah
169,penjuru
169,semoga
169,bahu
169,kuat
169,mencari
169,nafkah
169,halal
169,nyetir
169,pelan
169,sopiranak
169,istri
169,slalu
169,nunggu
169,rumah
170,amang
170,sabar
170,nungguin
170,pelangga
170,beli
170,ayam
170,dulusehat
170,pejuang
170,rupiah
170,penjuru
170,semoga
170,bahu
170,kuat
170,mencari
170,nafkah
170,halal
170,nyetir
170,pelan
170,sopiranak
170,istri
170,slalu
170,nunggu
170,rumah
171,aman
171,nyaman
171,diperjalanan
172,sangat
172,pelayanan
173,makasih
173,supir
174,terimakasih
175,saran
175,udah
175,deket
175,driver
175,navigasi
175,bikin
175,tombol
175,cancel
175,hilang
175,driver
175,marah
175,penumpang
175,emang
175,salah
175,udah
175,maaf
175,penumpang
175,lucu
176,saran
176,udah
176,deket
176,driver
176,navigasi
176,bikin
176,tombol
176,cancel
176,hilang
176,driver
176,marah
176,penumpang
176,emang
176,salah
176,udah
176,maaf
176,penumpang
176,lucu
177,ramah
178,nyetir
179,driver
179,baik
179,cepat
179,ramah
180,perjalanan
180,aman
180,nyaman
180,driver
180,ramah
181,perjalanan
181,aman
181,nyaman
181,driver
181,ramah
182,ramah
182,sangat
182,baik
183,kurir
183,ramah
184,komunikasi
184,sangat
184,sabar
185,error
185,cancel
185,tapi
185,driver
185,giliran
185,tunggu
185,lama
185,bikin
185,kagok
185,pesen
185,takutx
185,double
185,order
185,trus
185,maps
185,lengkap
185,error
186,error
186,cancel
186,tapi
186,driver
186,giliran
186,tunggu
186,lama
186,bikin
186,kagok
186,pesen
186,takutx
186,double
186,order
186,trus
186,maps
186,lengkap
186,error
187,error
187,cancel
187,tapi
187,driver
187,giliran
187,tunggu
187,lama
187,bikin
187,kagok
187,pesen
187,takutx
187,double
187,order
187,trus
187,maps
187,lengkap
187,error
188,driver
188,rajin
188,banget
189,perjalanan
189,lancar
190,kendaraan
190,gercep
190,mantap
191,alhamdulillah
191,perjalanan
191,nyamanterima
191,kasih
192,ramah
192,cepat
192,aman
193,ramah
193,cepat
193,aman
194,ramah
194,cepat
194,aman
195,harga
195,terjangkau
196,maxim
196,perjalanan
197,maxim
197,perjalanan
198,sangat
198,sayangkan
198,tidak
198,tersedia
198,pembayaran
198,pakai
198,kartu
198,kredit
199,bapak
199,sangat
200,gajelas
200,banget
200,aneh
200,gaada
200,titik
200,penjemputan
200,bener
200,aneh
201,driver
201,sangat
201,ramah
202,driver
202,maxim
202,tidak
202,atribut
202,sore
202,hari
202,plat
202,motor
202,berbeda
203,ramah
204,driver
204,cantik
204,ramah
204,hati
205,ramah
205,orang
206,ojol
206,ramah
207,menyenangkan
207,driver
207,sangat
207,ramah
208,terimakasih
208,membantu
208,aplikasi
209,sangat
209,membantu
209,sekali
209,aplikasi
209,nyaman
209,mudah
209,gunakan
209,driver
209,ramah
209,pelayanan
210,sangat
210,membantu
210,sekali
210,aplikasi
210,nyaman
210,mudah
210,gunakan
210,driver
210,ramah
210,pelayanan
211,sangat
211,membantu
211,sekali
211,aplikasi
211,nyaman
211,mudah
211,gunakan
211,driver
211,ramah
211,pelayanan
212,sangat
212,membantu
212,sekali
212,aplikasi
212,nyaman
212,mudah
212,gunakan
212,driver
212,ramah
212,pelayanan
213,terima
213,kasih
213,pagi
213,menyenangkan
214,terima
214,kasih
214,pagi
214,menyenangkan
215,terimakasih
215,pelayanan
215,aman
215,amanah
216,cepat
216,murah
216,ramah
217,cepat
217,murah
217,ramah
218,cepat
218,murah
218,ramah
219,mantap
219,cept
219,semngat
220,pesan
220,pdhl
220,pake
220,kode
220,voucher
220,driver
220,pembayaran
220,normal
220,ongkos
220,cancel
220,bike
220,cepat
220,penjemputan
220,ketimbang
220,aplikasi
220,lain
220,tapi
220,bannyak
220,driver
220,gagap
220,membahayakan
220,membaca
220,gelagapan
221,pesan
221,pdhl
221,pake
221,kode
221,voucher
221,driver
221,pembayaran
221,normal
221,ongkos
221,cancel
221,bike
221,cepat
221,penjemputan
221,ketimbang
221,aplikasi
221,lain
221,tapi
221,bannyak
221,driver
221,gagap
221,membahayakan
221,membaca
221,gelagapan
222,pesan
222,pdhl
222,pake
222,kode
222,voucher
222,driver
222,pembayaran
222,normal
222,ongkos
222,cancel
222,bike
222,cepat
222,penjemputan
222,ketimbang
222,aplikasi
222,lain
222,tapi
222,bannyak
222,driver
222,gagap
222,membahayakan
222,membaca
222,gelagapan
223,pesan
223,pdhl
223,pake
223,kode
223,voucher
223,driver
223,pembayaran
223,normal
223,ongkos
223,cancel
223,bike
223,cepat
223,penjemputan
223,ketimbang
223,aplikasi
223,lain
223,tapi
223,bannyak
223,driver
223,gagap
223,membahayakan
223,membaca
223,gelagapan
224,murah
224,dimari
224,ketimbang
224,aplikasi
224,sebelah
224,tapi
224,kasian
224,driver
225,murah
225,dimari
225,ketimbang
225,aplikasi
225,sebelah
225,tapi
225,kasian
225,driver
226,sangat
226,memuaskanbaik
226,ramah
227,sangat
